"gene_name"	"n_syn"	"n_mis"	"n_non"	"n_spl"	"n_ind"	"wmis_cv"	"wnon_cv"	"wspl_cv"	"wind_cv"	"pmis_cv"	"ptrunc_cv"	"pallsubs_cv"	"pind_cv"	"qmis_cv"	"qtrunc_cv"	"qallsubs_cv"	"pglobal_cv"	"qglobal_cv"
"NF1"	211	382	45	34	50	0.817860998990983	1.35608210831307	1.35608210831307	0.657668027949059	0.0199346251079512	0.0240381447899709	0.000166874555724394	0.87926924200481	0.166121875899593	0.0897351084954201	0.000782224479958099	0.00144188282397961	0.00636124775285123
"BAI3"	250	759	61	20	50	1.2448223757201	0.909875024917285	0.909875024917285	1.2263803016253	0.00216791890066492	0.456025608191638	0.00067136383811961	0.239111401012768	0.0232277025071242	0.570032010239547	0.00279734932549837	0.00156309191508142	0.0065128829795059
"RBM10"	64	127	16	12	42	1.12873204537649	2.13750838307688	2.13750838307688	1.68521251071458	0.42185030396434	0.00148649952310931	0.00598381973442585	0.0431160705780314	0.721422057343253	0.00696796651457488	0.02039938545827	0.0023897281863704	0.00943313757777789
"SPHKAP"	412	1006	53	6	64	1.16836732315104	0.897968517495058	0.897968517495058	1.40549959741353	0.00707996140790113	0.433127865762773	0.00653934106635756	0.117391142631872	0.066374638199073	0.558152472767406	0.0213239382598616	0.0062734482959117	0.0232130444819706
"FBXW7"	27	102	3	0	16	1.4550125829663	0.312794889143023	0.312794889143023	0.844193084463424	0.065196727404758	0.0251258303787176	0.00120744497831027	0.661967662124734	0.287632620903344	0.0897351084954201	0.00476623017754053	0.00649965245495177	0.0232130444819706
"FAT4"	661	1594	57	6	113	1.03763057178556	0.688338723198782	0.688338723198782	0.847285521996836	0.422909418786722	0.00285242062272584	0.00278435641224672	0.672841589940134	0.721422057343253	0.0125842086296728	0.0104413365459252	0.0136385459889409	0.0464950431441166
"ADAM29"	202	452	28	0	41	1.00056576220375	0.690592245463973	0.690592245463973	1.86550219669643	0.994648824613649	0.0542932553870028	0.126168446798705	0.0204117417075474	0.994648824613649	0.164998827530905	0.249016671313234	0.017928801655251	0.0584634836584272
"EZH2"	38	85	1	1	7	0.867366859646842	0.169367097006161	0.169367097006161	0.347724478607109	0.461710116699682	0.00117399715558952	0.00484621229004334	0.98874334040534	0.721422057343253	0.00628927047637245	0.0173079010358691	0.0303833339447583	0.0949479185773698
"HRAS"	24	25	2	1	13	0.715602146397129	0.919698624743568	0.919698624743568	2.55590564125045	0.232446509033173	0.889581382041308	0.484274648653591	0.0108074997066755	0.581116272582932	0.901602752068893	0.588379658058635	0.0327249405940511	0.0981748217821532
"SALL1"	328	596	16	0	46	1.04359380254826	0.585356961664022	0.585356961664022	1.29687171579268	0.533175085908871	0.0230177957325109	0.040697612316975	0.18958517775525	0.748584883414578	0.0897351084954201	0.117396958606659	0.0452485329154571	0.130524614179203
"CCND1"	20	46	5	0	12	1.75700002990762	2.24767175770538	2.24767175770538	1.51441394543945	0.0252921580718737	0.134273948097508	0.0526070466280932	0.158303527181818	0.189691185539053	0.305168063857972	0.131517616570233	0.0482029932432732	0.132610448983517
"SCN1A"	276	629	37	12	42	1.16599082745414	0.829410269098854	0.829410269098854	0.780563605709091	0.0313246024769854	0.217319433106361	0.0114812129476962	0.749166262038577	0.213576835070355	0.34714836618582	0.0358787904615507	0.0495079009538462	0.132610448983517
"SMO"	80	86	6	0	26	0.730502117373299	0.482266628474304	0.482266628474304	1.23254332953702	0.042522866519326	0.0549996091769683	0.0437865373669536	0.259715228323951	0.220960792045155	0.164998827530905	0.12162927046376	0.0622800442999276	0.16106908008602
"EPHA2"	100	158	14	6	46	1.04630707692381	1.36973657764932	1.36973657764932	1.75880759818352	0.721069610758116	0.214409952238672	0.462689698039667	0.0298012535457463	0.858508051442448	0.34714836618582	0.579236503023533	0.0728583341580384	0.182145835395096
"KEAP1"	53	91	1	1	21	1.18273748204648	0.328602522035057	0.328602522035057	1.25514627798022	0.32251086429073	0.0635660328650577	0.0657675458785807	0.254275562858284	0.639719273401231	0.183363556341513	0.159115030351405	0.0851366219231234	0.201503873009736
"TRIOBP"	302	596	35	7	99	0.97632586496941	0.786601890118428	0.786601890118428	1.56305953286692	0.734213695563692	0.132876749650044	0.320754414685246	0.0527765671831539	0.860406674488702	0.305168063857972	0.481131622027869	0.0859749858174872	0.201503873009736
"FLG2"	206	790	36	1	50	0.9966282836315	0.663005286164624	0.663005286164624	0.780843310775638	0.965439026395654	0.0157758906123489	0.0338707509584145	0.751037296594375	0.994648824613649	0.0657328775514536	0.101612252875244	0.118834625030851	0.270078693251935
"GRIN2A"	310	540	29	5	57	1.04429615070088	0.799061027061753	0.799061027061753	1.45342389575964	0.541395498643585	0.200538766464316	0.271022724314451	0.0993616886426648	0.748584883414578	0.34714836618582	0.42347300674133	0.124266253491837	0.274116735643758
"KMT2A"	289	613	42	4	121	0.860769593279198	0.838268886746758	0.838268886746758	1.13768457651354	0.0369008885154691	0.256042485327243	0.100803051053912	0.303575645218336	0.220960792045155	0.384063727990864	0.224092588263265	0.13729942275861	0.294213048768449
"APOB"	767	1461	93	12	104	1.07752860184851	0.881389380920962	0.881389380920962	0.851221861240288	0.0924906692563398	0.217546309476447	0.0484845553449097	0.66729621098567	0.315309099737522	0.34714836618582	0.129869344673865	0.143359634614851	0.298665905447606
"AKT1"	49	52	3	2	17	0.711823168725575	0.572202836351751	0.572202836351751	1.32025831140875	0.0853456842988797	0.198273775816202	0.157097925460682	0.224827740093156	0.310284166442739	0.34714836618582	0.294558610238779	0.153405469401138	0.30451755293473
"PLCB1"	233	429	18	27	36	0.882249719189448	0.735068984097275	0.735068984097275	1.10501198319658	0.125019923445897	0.0502874879386029	0.0985576572149084	0.361052654343503	0.390687260768428	0.163980938930227	0.224092588263265	0.15428889348693	0.30451755293473
"PTPRT"	198	362	21	17	40	1.19229292802835	1.01629802699149	1.01629802699149	1.02273905509943	0.0441921584090309	0.927340563911737	0.112532679318375	0.449232880189031	0.220960792045155	0.927340563911737	0.234443081913281	0.201441339886465	0.384871466374015
"PTEN"	8	15	0	6	0	0.604003604813198	2.10603663387762	2.10603663387762	0	0.225622161947561	0.165525692932879	0.0518398206449402	1	0.581116272582932	0.34714836618582	0.131517616570233	0.205264782066142	0.384871466374015
"FGFR3"	78	123	6	4	35	1.01289308726424	0.902315033651101	0.902315033651101	1.61612365829756	0.928878682516992	0.75611045436433	0.937826978326889	0.063011624076235	0.994648824613649	0.826110691596146	0.937826978326889	0.226248820752488	0.404887408162033
"GRM3"	276	425	23	4	33	0.998340312279026	0.778359221468755	0.778359221468755	1.40083289953149	0.982819255743876	0.198209623564414	0.4165581187503	0.142544478752506	0.994648824613649	0.34714836618582	0.565238667647686	0.227051635475842	0.404887408162033
"ERBB4"	231	445	37	22	34	0.848016465943472	0.947227073018342	0.947227073018342	0.970273869805364	0.0433307400777441	0.708395760626428	0.119080403623303	0.513838165160705	0.220960792045155	0.799888186324291	0.241379196533722	0.232135447346232	0.404887408162033
"PREX2"	214	507	20	27	42	1.04343646770025	0.782221162621694	0.782221162621694	0.976311666132715	0.599693452358651	0.117338623670545	0.142118304246992	0.504472686069492	0.789070332050857	0.293346559176363	0.273304431244215	0.260634770406497	0.440065715021158
"SCN11A"	315	459	39	13	39	0.876138891317462	0.786860092475981	0.786860092475981	0.812983379192385	0.0714057465711856	0.0992642441878046	0.102900249651585	0.709338887834932	0.297523944046607	0.265886368360191	0.224092588263265	0.264039429012695	0.440065715021158
"PCED1B"	77	96	7	0	13	0.765022308047726	0.768188109622433	0.768188109622433	1.12152903426694	0.0795006482852458	0.487695519927122	0.206350573586067	0.386241097014302	0.310284166442739	0.599625639254659	0.351733932248977	0.281302721124296	0.458645740963527
"PTCH1"	130	228	21	7	39	1.08860060012087	1.47882454808161	1.47882454808161	1.00612307701157	0.435882026166988	0.071683130717759	0.191030790813994	0.469213282857668	0.721422057343253	0.199119807549331	0.341625671612357	0.305833496455815	0.479486384191919
"SOX2"	8	30	0	0	5	1.6715242788341	0	0	0.587351320558278	0.142464596509188	0.204241717698773	0.104576541189524	0.86156704319924	0.427393789527564	0.34714836618582	0.224092588263265	0.306955125076538	0.479486384191919
"CDKN2A.p14arf"	8	14	1	2	4	0.7266601394752	2.58086982542514	2.58086982542514	1.12347500714305	0.44449947398967	0.188644903484749	0.201392917740842	0.460477934901047	0.721422057343253	0.34714836618582	0.351266716989841	0.313264437672054	0.479486384191919
"ERBB3"	92	153	9	5	34	0.833357367028976	0.652352804369432	0.652352804369432	0.945709974367254	0.167447228938859	0.116163863336509	0.19131037610292	0.543743808323525	0.465131191496831	0.293346559176363	0.341625671612357	0.339443834345694	0.509165751518542
"ADAMTS18"	221	458	35	16	39	1.03014782796715	0.854940677383797	0.854940677383797	1.19219821236723	0.715555329630697	0.304778779841367	0.429581387412241	0.275907914349479	0.858508051442448	0.439584778617356	0.565238667647686	0.371294929793573	0.542018239964249
"ERBB2"	94	132	8	4	38	0.864744041809528	0.702928364358432	0.702928364358432	1.13018365567297	0.280563783723392	0.228193829013348	0.360997551172282	0.334201364825111	0.639719273401231	0.356552857833355	0.520669544960022	0.375799313041879	0.542018239964249
"CDH1"	70	156	4	5	22	1.10560726741303	0.654556522253257	0.654556522253257	0.930715705237988	0.478245193859464	0.205432854684947	0.229385042297893	0.564174151266417	0.732007949784893	0.34714836618582	0.373997351572651	0.394029998912252	0.557589621102243
"EGFR"	103	169	13	9	43	0.952584928444181	1.06451905985332	1.06451905985332	1.32641485669924	0.696354921905187	0.791123869572921	0.850882722503707	0.172974446314774	0.858508051442448	0.8356942284221	0.886453776063694	0.429193298084198	0.59610180289472
"AKT2"	47	51	4	3	14	0.758226218797012	0.890573696541028	0.890573696541028	1.08501580046699	0.167372729140315	0.771036645489736	0.384021780976134	0.414554676441147	0.465131191496831	0.826110691596146	0.536452138724241	0.45174133671865	0.616010913707249
"FGFR2"	55	99	3	5	24	0.903393727841247	0.636627358317144	0.636627358317144	1.08934757679241	0.542919438288583	0.205742363758577	0.439149810266371	0.389449151234518	0.748584883414578	0.34714836618582	0.567866133965135	0.473048520781843	0.633547126047111
"SMAD4"	23	42	3	2	8	0.64294404576362	0.674004053475214	0.674004053475214	0.540405699638431	0.086879566603967	0.400483461153382	0.225888784835775	0.915622682328734	0.310284166442739	0.553826271424813	0.373997351572651	0.532762985313771	0.701003928044436
"KRAS"	4	21	1	2	5	1.61579315323446	2.27298211811305	2.27298211811305	0.983040631250171	0.27776614771508	0.271244692003304	0.426088802274456	0.541771476963646	0.639719273401231	0.398889252946036	0.565238667647686	0.569262514705041	0.728855720056183
"NFE2L2"	40	82	4	0	12	0.818263993668139	0.522768089452353	0.522768089452353	0.739713742326861	0.295737326572435	0.175040083536928	0.318306944629889	0.766558187104881	0.639719273401231	0.34714836618582	0.481131622027869	0.588184361695092	0.728855720056183
"CREBBP"	147	271	12	9	64	0.938862679166572	0.771483276457515	0.771483276457515	0.978614332869593	0.537409228270056	0.250235478642566	0.496849607001533	0.498269382626782	0.748584883414578	0.383013487718213	0.591487627382778	0.593185992294112	0.728855720056183
"NRAS"	11	19	4	0	5	0.791116126236272	1.58642623715321	1.58642623715321	0.983040631250171	0.517835638051437	0.439079945243693	0.463389202418826	0.541771476963646	0.748584883414578	0.558152472767406	0.579236503023533	0.598028452244031	0.728855720056183
"PPP1R3A"	245	717	44	3	23	0.995687176267841	0.805289171103859	0.805289171103859	0.765073474365672	0.953295759579655	0.163231093243573	0.336135897632429	0.756588881681127	0.994648824613649	0.34714836618582	0.494317496518278	0.602520728579778	0.728855720056183
"KMT2C"	205	592	38	5	66	0.993386264027749	0.779391090333026	0.779391090333026	0.496169431107955	0.934530885271509	0.12658689155865	0.268554337573533	0.975533342692084	0.994648824613649	0.305168063857972	0.42347300674133	0.612903804440562	0.729647386238764
"ARID1A"	149	311	14	5	64	0.992299800605711	0.813499687114506	0.813499687114506	1.04582450358723	0.937898169735452	0.38380013477042	0.672854527931383	0.415095968389159	0.994648824613649	0.543113398260028	0.753195367087369	0.635537419516448	0.737789937715754
"BRAF"	38	104	12	6	16	1.14738166565194	1.48996081228832	1.48996081228832	0.779255154889315	0.455193861181214	0.171592200819494	0.386245539881454	0.733193865541352	0.721422057343253	0.34714836618582	0.536452138724241	0.640476655560025	0.737789937715754
"KCNH5"	154	277	18	6	28	0.998016479825964	0.839038911966924	0.839038911966924	1.05758870743193	0.984174326210626	0.413523615997194	0.694963294021114	0.417604013556943	0.994648824613649	0.553826271424813	0.766503633111523	0.649255145189863	0.737789937715754
"CR2"	134	330	26	9	30	0.956102145115818	0.857580715420942	0.857580715420942	1.02531227779066	0.6604848650972	0.410606117913171	0.707558139655572	0.451412515992737	0.839599404784576	0.553826271424813	0.76908493440823	0.683935432022268	0.765599364204031
"CASP8"	50	86	8	2	16	0.968275207172294	1.11100328767894	1.11100328767894	1.1088844226347	0.854517235696953	0.763213623864779	0.91612073989238	0.387039372073405	0.971042313291992	0.826110691596146	0.928500749890925	0.722210696732481	0.796555915513766
"SUFU"	40	58	5	0	10	0.831989547106004	0.704317024052341	0.704317024052341	0.770217401804258	0.366385995229324	0.437825339190161	0.573892687127155	0.731008449599441	0.686973741054983	0.558152472767406	0.662183869762102	0.783933914230329	0.849502619616212
"CDKN2A.p16INK4a"	12	14	2	0	2	0.67971741401007	1.33172954714188	1.33172954714188	0.475866802388618	0.307818343826076	0.714566779783033	0.486393850661805	0.887770701190318	0.639719273401231	0.799888186324291	0.588379658058635	0.794427729105279	0.849502619616212
"IRF6"	30	66	4	2	8	1.23348421493295	0.912790508619121	0.912790508619121	0.638556307478744	0.324124431856624	0.835786585016345	0.52587221723145	0.84360597851493	0.639719273401231	0.858684847619532	0.616256504568105	0.804195813236681	0.849502619616212
"SETD2"	143	408	26	5	59	0.965994198183054	0.878110318485404	0.878110318485404	0.859250329537187	0.721146763211656	0.505326391192079	0.795666366925222	0.654279168698755	0.858508051442448	0.611281924829128	0.852499678848453	0.86042589321886	0.893650769677433
"FGFR1"	84	143	9	8	20	1.01800323393914	1.16520844401888	1.16520844401888	0.874837095726148	0.895863183895935	0.571206056298729	0.850995625021146	0.629020681398668	0.994648824613649	0.669382097225073	0.886453776063694	0.869820082486035	0.893650769677433
"AURKA"	12	27	3	2	4	0.835806984086042	1.29173817209006	1.29173817209006	0.369856871163431	0.589111626978229	0.630212356693932	0.648104817843372	0.971565468991113	0.788988786131557	0.727168103877614	0.736482747549287	0.92093267759415	0.933377713777855
"MET"	86	166	12	6	26	0.941483359702995	0.946102493291543	0.946102493291543	0.689314509350723	0.648410941718637	0.829380086906805	0.899416577444009	0.838047060317785	0.838462424636168	0.858684847619532	0.924058127510968	0.96683196914455	0.96683196914455
